연번,군구명,병원종별,의료기관명,소재지,병실수,병상수,진료과목,
1110,연수구,의원,서울꾸러기365의원,"인천광역시 연수구 청능대로 210, 3층 (동춘동, 스퀘어원)",0,0,가정의학과 소아청소년과 이비인후과 내과,
1111,연수구,의원,연세e소아청소년과의원,"인천광역시 연수구 앵고개로264번길 46, 2층 (동춘동)",0,0,소아청소년과 내과 이비인후과 피부과,
1112,연수구,의원,제이드비뇨기과의원,"인천광역시 연수구 컨벤시아대로 81, 312호 (송도동, 드림시티상가)",0,0,피부과 비뇨의학과,
1113,연수구,의원,서울밝은안과의원,"인천광역시 연수구 독배로40번길 47, 5층 (옥련동, 제일빌딩)",0,0,안과,
1114,연수구,의원,송도여성의원,"인천광역시 연수구 신송로 122 (송도동,송도프라자 2층 201호)",1,1,산부인과 피부과 내과 소아청소년과,
1115,연수구,의원,미래제일산부인과의원,"인천광역시 연수구 먼우금로 189, 501호 (청학동, 소망빌딩)",16,20,산부인과 소아청소년과 내과 피부과 안과 정형외과 외과 성형외과 신경외과,
1116,연수구,의원,신비라인의원,인천광역시 연수구 컨벤시아대로 81 (송도동),0,0,성형외과 피부과,
1117,연수구,의원,미앤아이의원,"인천광역시 연수구 컨벤시아대로 69, 6층 608호 (송도동, 밀레니엄상가)",0,0,정형외과 마취통증의학과 내과 피부과,
1118,연수구,의원,연세최선내과의원,"인천광역시 연수구 신송로125번길 7, 4층 (송도동, 이리옴프라자)",0,0,내과 이비인후과 소아청소년과,
1119,연수구,의원,앤의원,"인천광역시 연수구 앵고개로264번길 30-4, 3층 (동춘동, 영남프라자)",0,0,피부과 성형외과,
1120,연수구,의원,해솔정신과의원,"인천광역시 연수구 인천타워대로 251, 아트윈몰 202호 (송도동)",0,0,정신건강의학과,
1121,연수구,의원,올바른신경외과의원,"인천광역시 연수구 앵고개로 256, 3층 301호 (동춘동, 웅지프라자)",0,0,정형외과 신경외과 가정의학과,
1122,연수구,의원,신피부과의원,"인천광역시 연수구 신송로 121, 704호 (송도동, 센타프라자)",0,0,피부과,
1123,연수구,의원,미소지움피부과의원,"인천광역시 연수구 컨벤시아대로 69, 5층 509호 (송도동, 송도밀레니엄)",0,0,피부과,
1124,연수구,의원,연세소아청소년과의원,"인천광역시 연수구 컨벤시아대로 69, 4층 411호 (송도동, 송도 밀레니엄)",0,0,소아청소년과,
1125,연수구,의원,닥터김내과의원,"인천광역시 연수구 용담로 11, 2층 (청학동, 시대아파트상가)",0,0,내과 소아청소년과 이비인후과 피부과 비뇨의학과 영상의학과 외과,
1126,연수구,의원,한미의원,"인천광역시 연수구 벚꽃로 114, 2층 250-1호 (연수동, 연수브랫슬)",0,0,병리과 진단검사의학과 내과 외과 정형외과 소아청소년과 피부과 산부인과,
1127,연수구,의원,세원정형외과의원,"인천광역시 연수구 인천타워대로54번길 9, 에몬스프라자 505,506호 (송도동)",5,19,정형외과 내과 재활의학과,
1128,연수구,의원,메디모아의원,"인천광역시 연수구 경원대로 184, 2층 (동춘동, 이마트연수점)",0,0,소아청소년과 내과 피부과 이비인후과,
1129,연수구,의원,코아이비인후과의원,"인천광역시 연수구 컨벤시아대로 69, 송도 밀레니엄 4층 409,413호 (송도동)",2,2,이비인후과,
1130,연수구,의원,송도스타피부과의원,"인천광역시 연수구 컨벤시아대로 69, 401호 (송도동, 밀레니엄빌딩)",0,0,피부과,
1131,연수구,의원,이화웰봄소아청소년과의원,"인천광역시 연수구 인천타워대로54번길 13, 해승메디피아 2층 (송도동)",0,0,피부과 이비인후과 안과 소아청소년과 산부인과 정신건강의학과 내과,
1132,연수구,의원,정부순의원,인천광역시 연수구 해돋이로 102 (송도동),0,0,내과 소아청소년과 피부과,
1133,연수구,의원,송도정형외과의원,"인천광역시 연수구 컨벤시아대로 69, 4층 (송도동, 밀레니엄빌딩)",2,7,정형외과 신경외과 외과 재활의학과 영상의학과 내과,
1134,연수구,의원,솔이산부인과의원,"인천광역시 연수구 독배로 35 (옥련동,IF빌딩 4층)",4,4,가정의학과 산부인과 소아청소년과 내과,
1135,연수구,의원,해사랑마취통증의학과의원,"인천광역시 연수구 청능대로 103, 3층 (연수동, BYC빌딩)",0,0,내과 외과 정형외과 마취통증의학과,
1136,연수구,의원,마음속내과의원,"인천광역시 연수구 독배로40번길 11, 401,402,403호 (옥련동, 효명프라자)",0,0,내과 산부인과 소아청소년과,
1137,연수구,의원,도담이비인후과의원,"인천광역시 연수구 원인재로 312, 3층 304호 (연수동, 대림상가)",0,0,내과 소아청소년과 이비인후과,
1138,연수구,의원,차지현정신건강의학과의원,"인천광역시 연수구 청능대로 109, 5층 (연수동, 탑피온빌딩)",0,0,신경과 정신건강의학과,
1139,연수구,의원,성모신경외과의원,"인천광역시 연수구 용담로 115, 파크타워 4층 402,403호 (연수동)",0,0,재활의학과 마취통증의학과 신경외과 정형외과 외과 내과,
1140,연수구,의원,신이비인후과의원,"인천광역시 연수구 용담로 11, 2층 (청학동)",0,0,소아청소년과 안과 이비인후과,
1141,연수구,의원,모아소아청소년과.가정의학과의원,"인천광역시 연수구 앵고개로264번길 30-4, 201호 (동춘동, 영남프라자)",0,0,내과 소아청소년과 이비인후과 피부과 가정의학과,
1142,연수구,의원,연수우리내과의원,"인천광역시 연수구 학나래로6번길 35, 4층 (선학동)",0,0,내과 소아청소년과,
1143,연수구,의원,송도이.이.주내과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 801,802호 (송도동)",0,0,내과 소아청소년과,
1144,연수구,의원,PNC안과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 808,809호 (송도동)",0,0,내과 소아청소년과 안과,
1145,연수구,의원,에코이비인후과의원,"인천광역시 연수구 신송로 121, 405호 (송도동, 센타프라자)",0,0,이비인후과 가정의학과,
1146,연수구,의원,송도내과의원,"인천광역시 연수구 해돋이로120번길 16, 201호 (송도동, 송도신도시풍림아이원 2단지 상가)",0,0,내과 소아청소년과 이비인후과 피부과 비뇨의학과,
1147,연수구,의원,권도승정형외과의원,"인천광역시 연수구 비류대로 208, 비류프라자 2층 201호 (옥련동)",0,0,내과 외과 정형외과 신경외과 마취통증의학과 비뇨의학과 영상의학과 재활의학과,
1148,연수구,의원,한마음의원,"인천광역시 연수구 청학로15번길 4, 2층 (청학동)",0,0,내과 외과 정형외과 소아청소년과 이비인후과 피부과 비뇨의학과,
1149,연수구,의원,이성문소아청소년과의원,"인천광역시 연수구 청능대로 103, 3층 (연수동)",0,0,내과 소아청소년과 이비인후과 안과 피부과,
1150,연수구,의원,수이비인후과의원,"인천광역시 연수구 앵고개로 250, 3층 (동춘동, 연수메디칼)",0,0,이비인후과,
1151,연수구,의원,성심내과의원,인천광역시 연수구 원인재로 313 (연수동),0,0,내과 소아청소년과,
1152,연수구,의원,우리들소아청소년과의원,인천광역시 연수구 앵고개로 254 (동춘동),0,0,내과 소아청소년과 이비인후과,
1153,연수구,의원,우리외과의원,"인천광역시 연수구 먼우금로 194, 3층 304호 (연수동, 두손메카)",10,18,내과 외과 정형외과 심장혈관흉부외과 성형외과 소아청소년과 이비인후과 피부과 비뇨의학과,
1154,연수구,의원,서울가정의학과의원,"인천광역시 연수구 새말로 31, 2층 (연수동)",0,0,내과 외과 정형외과 산부인과 소아청소년과 이비인후과 피부과 가정의학과,
1155,연수구,의원,연수늘밝은안과의원,"인천광역시 연수구 청능대로 210, 스퀘어원 3층 3208호 (동춘동)",0,0,안과,
1156,연수구,의원,마음과마음정신과의원,"인천광역시 연수구 청능대로 103, 3층 (연수동, 비와이씨빌딩)",0,0,정신건강의학과,
1157,연수구,의원,연수메디칼정형외과의원,"인천광역시 연수구 앵고개로 250, 연수메디칼빌딩 2,5층 201,501호 (동춘동)",0,0,외과 정형외과 신경외과,
1158,연수구,의원,굿모닝이비인후과의원,"인천광역시 연수구 앵고개로264번길 10-1, 3층 (동춘동)",1,1,이비인후과,
1159,연수구,의원,성수이비인후과의원,"인천광역시 연수구 청능대로 103, 5층 (연수동, 비와이씨빌딩)",0,0,소아청소년과 이비인후과,
1160,연수구,의원,녹색중앙의원,"인천광역시 연수구 선학로68번길 4, 3층 (선학동, 중앙빌딩)",0,0,내과 정형외과 소아청소년과 이비인후과 가정의학과,
1161,연수구,의원,연수함문외과의원,"인천광역시 연수구 청능대로 103, 3층 (연수동, 비와이씨)",7,9,외과,
1162,연수구,의원,인하정형외과의원,"인천광역시 연수구 독배로 41, 3,4층 (옥련동, 인영프라자)",7,24,내과 신경과 정형외과 성형외과 피부과 이비인후과,
1163,연수구,의원,연세꾸러기소아청소년과의원,"인천광역시 연수구 독배로40번길 43, 301호 (옥련동, 신송빌딩)",0,0,내과 소아청소년과 이비인후과 피부과,
1164,연수구,의원,현대성모의원,인천광역시 연수구 함박뫼로 28 (청학동),0,0,내과 소아청소년과 피부과 영상의학과,
1165,연수구,의원,손호균마취통증의학과의원,"인천광역시 연수구 앵고개로 242, 401호 (동춘동, 연수제일종합상가)",0,0,정형외과 신경외과 마취통증의학과 재활의학과,
1166,연수구,의원,박소아청소년과의원,"인천광역시 연수구 용담로 11, 2층 (청학동)",0,0,내과 소아청소년과 이비인후과,
1167,연수구,의원,이이주내과의원,"인천광역시 연수구 앵고개로 242, 2층 (동춘동, 연수제일상가)",0,0,내과 소아청소년과,
1168,연수구,의원,이정호내과의원,"인천광역시 연수구 비류대로 429, 3층 (연수동, 영일빌딩)",0,0,내과 소아청소년과 이비인후과 피부과,
1169,연수구,의원,피앤비의원,"인천광역시 연수구 한진로 23, 201호 (옥련동, 로얄프라자빌딩)",0,0,내과 소아청소년과 피부과 비뇨의학과,
1170,연수구,의원,홍성표내과의원,"인천광역시 연수구 청능대로 103, 4층 (연수동, BYC건물)",0,0,내과 소아청소년과 이비인후과,
1171,연수구,의원,장효죽성형외과의원,"인천광역시 연수구 앵고개로 262, 402호 (동춘동, 동경상가)",0,0,성형외과,
1172,연수구,의원,현대가외의원,"인천광역시 연수구 독배로 42, 3층 (옥련동)",0,0,내과 외과 소아청소년과 안과 이비인후과 피부과 비뇨의학과 가정의학과,
1173,연수구,의원,연세이비인후과의원,"인천광역시 연수구 한진로 23, 301호 (옥련동, 로얄프라자)",0,0,이비인후과,
1174,연수구,의원,우리산부인과의원,인천광역시 연수구 앵고개로 254 (동춘동),17,28,산부인과 마취통증의학과,
1175,연수구,의원,변피부과의원,"인천광역시 연수구 원인재로 286, 301호 (연수동, 대림아파트상가)",0,0,피부과 비뇨의학과,
1176,연수구,의원,서울정형외과의원,인천광역시 연수구 비류대로433번길 3 (연수동),0,0,내과 외과 정형외과 신경외과 성형외과 소아청소년과 피부과 가정의학과 영상의학과 재활의학과 비뇨의학과,
1177,연수구,의원,연세정형외과의원,인천광역시 연수구 비류대로 194 (옥련동),6,23,내과 외과 정형외과 신경외과 소아청소년과 피부과 비뇨의학과 영상의학과 재활의학과,
1178,연수구,의원,부부내과의원,인천광역시 연수구 독배로40번길 29 (옥련동),0,0,내과 소아청소년과,
1179,연수구,의원,제일내과의원,인천광역시 연수구 한나루로 190 (옥련동),0,0,내과 소아청소년과,
1180,연수구,의원,이강범이비인후과의원,"인천광역시 연수구 독배로 41, 3층 10호 (옥련동, 인영빌딩)",0,0,이비인후과,
1181,연수구,의원,한솔내과의원,인천광역시 연수구 용담로 131 (연수동),0,0,내과 소아청소년과,
1182,연수구,의원,연수이안과의원,인천광역시 연수구 앵고개로 250 (동춘동),0,0,안과,
1183,연수구,의원,이상대내과의원,"인천광역시 연수구 앵고개로 250, 연수메디칼빌딩 404,405호 (동춘동)",0,0,내과 소아청소년과 이비인후과,
1184,연수구,의원,최대경여성의원,인천광역시 연수구 앵고개로 250 (동춘동),3,3,성형외과 산부인과 피부과,
1185,연수구,의원,김운호피부과의원,인천광역시 연수구 앵고개로 250 (동춘동),0,0,피부과 비뇨의학과,
1186,연수구,의원,박무헌정신과의원,"인천광역시 연수구 앵고개로 250, 3층 (동춘동, 연수메디칼빌딩)",0,0,신경과 정신건강의학과,
1187,연수구,의원,연세비뇨기과의원,"인천광역시 연수구 앵고개로 242, 407,408호 (동춘동, 연수제일상가)",0,0,피부과 비뇨의학과,
1188,연수구,의원,이상영가정의학과의원,"인천광역시 연수구 비류대로 437, 2층 (연수동, 청보빌딩)",0,0,내과 소아청소년과 이비인후과 피부과 가정의학과,
1189,연수구,의원,웅내과의원,"인천광역시 연수구 학나래로118번길 9, 205호 (선학동, 선학프라자)",0,0,내과 소아청소년과,
1190,연수구,의원,김지현피부과의원,"인천광역시 연수구 청능대로 103, 4층 (연수동, 비와이씨빌딩)",0,0,피부과 비뇨의학과,
1191,연수구,의원,현대의원,"인천광역시 연수구 원인재로 14, 2층 (동춘동, 무지개마을상가)",0,0,내과 외과 정형외과 소아청소년과 이비인후과 피부과 비뇨의학과 가정의학과,
1192,연수구,의원,박호연의원,"인천광역시 연수구 원인재로 180, 309-313호 (연수동, 우성2차상가)",0,0,내과 외과 정형외과 소아청소년과 비뇨의학과,
1193,연수구,의원,한빛이비인후과의원,"인천광역시 연수구 용담로 115, 3층 (연수동)",2,2,가정의학과 피부과 이비인후과,
1194,연수구,의원,연수김안과의원,"인천광역시 연수구 컨벤시아대로 165, 포스코타워-송도 3,5,6,7층 (송도동)",2,8,안과,
1195,연수구,의원,서비뇨기과의원,"인천광역시 연수구 청능대로 103, 5층 (연수동, 비와이씨빌딩)",0,0,비뇨의학과,
1196,연수구,의원,선이비인후과의원,인천광역시 연수구 샘말로7번길 7 (연수동),2,3,안과 이비인후과,
1197,연수구,의원,유기수내과의원,"인천광역시 연수구 원인재로 88, 307호 (동춘동, 대우삼환상가)",0,0,내과 소아청소년과,
1198,연수구,의원,연수성심의원,"인천광역시 연수구 먼우금로 88, 301,302호 (동춘동, 상산빌딩)",0,0,내과 소아청소년과,
1199,연수구,의원,주일중소아청소년과의원,"인천광역시 연수구 먼우금로 302, 201호 (연수동, 연수동유천상가)",0,0,소아청소년과,
1200,연수구,의원,이든의원,"인천광역시 연수구 선학로 101, 2층 (선학동, 뉴서울아파트상가)",0,0,내과 외과 소아청소년과 이비인후과 피부과 비뇨의학과,
1201,연수구,의원,연세의원,"인천광역시 연수구 원인재로 315, 204호 (연수동, 주공상가)",0,0,내과 정형외과 소아청소년과 영상의학과 병리과,
1202,연수구,의원,연수의원,"인천광역시 연수구 원인재로 212 (연수동, 시영1차상가)",0,0,내과 소아청소년과 이비인후과,
1203,연수구,의원,김웅철산부인과의원,인천광역시 연수구 용담로 135 (연수동),0,0,산부인과,
1204,연수구,의원,한림의원,인천광역시 연수구 한나루로196번길 3 (옥련동),0,0,내과 소아청소년과,
1205,연수구,부속의원,삼성바이오부속의원,"인천광역시 연수구 송도바이오대로 300, 복지동 3층 (송도동, 삼성바이오로직스)",0,0,정형외과 가정의학과,
1206,연수구,한의원,노아한의원,"인천광역시 연수구 신송로 160, 더 넥서스 304호 (송도동)",0,0,침구과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
1207,연수구,한의원,송도부부한의원,"인천광역시 연수구 랜드마크로 20, 판매시설동 205,206호 (송도동, 호반써밋 송도)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1208,연수구,한의원,숨쉬는한의원,"인천광역시 연수구 인천타워대로197번길 16, 리치센트럴 327,328,329호 (송도동)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1209,연수구,한의원,엠티필한의원,"인천광역시 연수구 센트럴로 263, 송도국제업무단지 C8-2블럭 업무복합시설 업무시설동 3층 4호 (송도동)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1210,연수구,한의원,나은내일한의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 8층 804,805,806호 (송도동)",0,0,한방내과 한방안·이비인후·피부과 한방재활의학과 침구과,
1211,연수구,한의원,경희베스트한의원,"인천광역시 연수구 컨벤시아대로230번길 54, 닥터플러스몰 A307, A308호 (송도동)",0,0,침구과 한방소아과 한방부인과 한방내과,
1212,연수구,한의원,아레나한의원,"인천광역시 연수구 해돋이로151번길 4, 304호 (송도동)",0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
1213,연수구,한의원,메디컬오한의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 B동 506-509호 (송도동)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1214,연수구,한의원,울림한의원,"인천광역시 연수구 해돋이로 168-2, 307호 (송도동)",6,8,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1215,연수구,한의원,소통부부한의원,"인천광역시 연수구 신송로 164, 501호 (송도동)",11,11,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1216,연수구,한의원,365송도경희한의원,"인천광역시 연수구 센트럴로 415, 힐스테이트 송도 더테라스 2층 242,243,250,251호 (송도동)",4,9,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1217,연수구,한의원,경희랜드마크한의원,"인천광역시 연수구 랜드마크로 68, 222,223,224,225,228,229호 (송도동, 랜드마크시티센트럴더샵)",2,3,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
1218,연수구,한의원,김범락한의원,"인천광역시 연수구 컨벤시아대로130번길 14, 송도 메디컬타워 2층 201호,202호 (송도동)",0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
1219,연수구,한의원,동춘당한의원,"인천광역시 연수구 앵고개로264번길 10-1, 아촌빌딩 2층 (동춘동)",0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
1220,연수구,한의원,인애한의원,"인천광역시 연수구 인천타워대로 257, 아트포레 415,416호 (송도동)",0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
1221,연수구,한의원,이솜한의원,"인천광역시 연수구 컨벤시아대로230번길 42, 송도아라플라자 2층 207호 (송도동)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1222,연수구,한의원,우소세강한의원,"인천광역시 연수구 앵고개로 266, 한양2차아파트(롯데슈퍼) A동 2층 8호 (동춘동)",0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
1223,연수구,한의원,화평한의원,"인천광역시 연수구 독배로40번길 11, 효명프라자 601호 (옥련동)",0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
1224,연수구,한의원,스마트한의원,"인천광역시 연수구 송도미래로 30, 송도 BRC 스마트밸리 지식산업센터 F동 317호 (송도동)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1225,연수구,한의원,센트럴숲한의원,"인천광역시 연수구 송도국제대로 261, 2층 (송도동, 송도 더샵 센트럴시티)",0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
1226,연수구,한의원,인아당한의원,"인천광역시 연수구 신송로125번길 13, 아크리아 409호 (송도동)",0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
1227,연수구,한의원,달임채한의원,"인천광역시 연수구 인천타워대로54번길 3, 메트로프라자 305호 (송도동)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1228,연수구,한의원,자윤한의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 607호 (송도동)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1229,연수구,한의원,아이누리한의원,"인천광역시 연수구 송도국제대로 157, 오네스타 401호, 402호 (송도동)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1230,연수구,한의원,자연한의원,"인천광역시 연수구 송도문화로28번길 28, 203동 215호 (송도동, 송도글로벌캠퍼스푸르지오)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1231,연수구,한의원,원당한의원,"인천광역시 연수구 해돋이로 161, 204호 (송도동, 세종프라자)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1232,연수구,한의원,정기용한의원,"인천광역시 연수구 앵고개로246번길 10, 303호 (동춘동, 대산프라자)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1233,연수구,한의원,캠퍼스타운한의원,"인천광역시 연수구 송도과학로27번길 55, A동 301, 302호 (송도동, 캠퍼스타운애비뉴상가)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1234,연수구,한의원,해아림한의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 507호 (송도동)",0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
1235,연수구,한의원,백록담한의원,"인천광역시 연수구 컨벤시아대로 81 (송도동, 드림시티 325호, 326호)",0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
1236,연수구,한의원,송도본한의원,"인천광역시 연수구 해돋이로 165, 차오름 프라자 3층 303호 (송도동)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1237,연수구,한의원,편안한한의원,"인천광역시 연수구 신송로 122, 송도프라자 310호 (송도동)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과 한방응급과,
1238,연수구,한의원,김상호한의원,"인천광역시 연수구 하모니로178번길 6, 6층 605,606,607,608호 (송도동)",0,0,한방내과 한방소아과 침구과,
1239,연수구,한의원,더경희한의원,"인천광역시 연수구 해돋이로 168-2, 306호 (송도동)",0,0,한방내과 침구과 한방부인과 한방안·이비인후·피부과,
1240,연수구,한의원,인천송도리아한의원,"인천광역시 연수구 해돋이로 107, 58~60호 (송도동, 더샵퍼스트월드h동)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과 한방응급과,
1241,연수구,한의원,인천송도 더율한의원,인천광역시 연수구 컨벤시아대로 81 (송도동),0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과 한방응급과,
1242,연수구,한의원,플러스경희한의원,"인천광역시 연수구 컨벤시아대로230번길 54, 닥터플러스몰 A223호 (송도동)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1243,연수구,한의원,지씨한의원,"인천광역시 연수구 해돋이로 168-5, 2층 (송도동, 송정프라자)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1244,연수구,한의원,제일한의원,"인천광역시 연수구 한진로 23, 2층 (옥련동, 로얄프라자)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방재활의학과 사상체질과 침구과,
1245,연수구,한의원,건강드림한의원,"인천광역시 연수구 송도문화로28번길 28, 204동 202호 (송도동, 글로벌캠퍼스푸르지오상가)",0,0,사상체질과 한방안·이비인후·피부과 한방내과 한방부인과 한방신경정신과 침구과 한방소아과 한방재활의학과,
1246,연수구,한의원,사암명인한의원,"인천광역시 연수구 앵고개로254번길 23, 1층 (동춘동)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 침구과,
1247,연수구,한의원,약선당 부부한의원,"인천광역시 연수구 먼우금로 190, 연수프라자 203,207,208호 (연수동)",5,8,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1248,연수구,한의원,경희다인한의원,"인천광역시 연수구 인천타워대로54번길 9 (송도동,에몬스프라자빌딩 3층 304호)",0,0,한방내과 한방안·이비인후·피부과 사상체질과 침구과 한방신경정신과 한방부인과 한방소아과 한방재활의학과,
1249,연수구,한의원,박정식한의원,"인천광역시 연수구 앵고개로 262, 3층 303호 (동춘동, 동경빌딩)",0,0,한방내과 한방안·이비인후·피부과 한방부인과 침구과,
1250,연수구,한의원,지인한의원,"인천광역시 연수구 컨벤시아대로 69, 307호 (송도동, 밀레니엄프라자)",0,0,한방내과 한방안·이비인후·피부과 사상체질과 침구과 한방신경정신과 한방부인과 한방소아과 한방재활의학과,
1251,연수구,한의원,동풍한의원,"인천광역시 연수구 앵고개로264번길 30-3 (동춘동,영창빌딩 3층)",0,0,한방내과 한방안·이비인후·피부과 사상체질과 한방부인과 한방신경정신과 침구과 한방소아과 한방재활의학과,
1252,연수구,한의원,태극한의원,"인천광역시 연수구 신송로 121, 401호 (송도동, 센타프라자)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1253,연수구,한의원,사랑한의원,"인천광역시 연수구 독배로40번길 29, 202호 (옥련동)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1254,연수구,한의원,송도함소아한의원,"인천광역시 연수구 해돋이로 107, H동 69,70호 (송도동, 더샵퍼스트월드상가)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1255,연수구,한의원,이레한의원,"인천광역시 연수구 신송로 161, 송도 하이츠 301,302호 (송도동)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1256,연수구,한의원,택한의원,"인천광역시 연수구 청학로12번길 3, 2층 (청학동)",0,0,한방내과,
1257,연수구,한의원,어울림한의원,"인천광역시 연수구 신송로125번길 7, 301-1호 (송도동, 이리옴프라자)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과,
1258,연수구,한의원,경희약손한의원,"인천광역시 연수구 비류대로256번길 8-14, 1층 (청학동, 청학프라자)",0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
1259,연수구,한의원,경희한의원,"인천광역시 연수구 선학로 101, 201,202호 (선학동, 뉴서울상가)",0,0,한방내과 한방부인과 한방소아과 한방신경정신과 침구과,
1260,연수구,한의원,송도세명한의원,"인천광역시 연수구 인천타워대로54번길 15-5, 301호 (송도동, 송도북일프라자)",0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
1261,연수구,한의원,박병선한의원,"인천광역시 연수구 해돋이로120번길 16 (송도동, 송도풍림아이원2단지아파트)",0,0,한방내과,
